,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
105,NZL,5,13.8566128932927,10.1,1.50578316276878,1.55248496928105,1.72800149468152,6.2,42084.0,206928765543.0,0.767,-41.2,18.314,16.0,0.361903085147482,0.0006127866488409,4822233
106,NIC,5,27.3988406128049,14.2,13.4893292925955,13.6347202088635,,11.4,1912.0,12520915291.0,0.531,13.0,55.049,,0.0022627938424232,3.68326682822e-05,6624554
107,NER,4,31.4056067328557,20.0,3.83780866949047,4.54430444318706,0.0176914297385229,2.4,554.0,12928145120.0,0.316,17.0,19.11,7.7,0.0003878275362177,1.28890276203e-05,24206636
108,NGA,5,27.0529050501022,22.5,1.96096489465895,1.75671283289822,0.0210230014650518,3.1,2229.0,448120428858.0,0.342,9.0,226.336,5.8,0.0012836787142685,1.53003120162e-05,206139587
109,MKD,1,,20.3,2.90258127285336,2.53868564211864,0.899122344844971,9.3,6093.0,12694823394.0,0.534,,83.4,,0.164596665016956,0.0045813169312301,2077132
110,NOR,5,6.06239303654822,9.2,1.24269329623771,1.27617791463126,2.58136994421273,5.3,75419.0,403336363636.0,0.771,65.0,17.2,20.2,0.274238525043673,0.0007578527280821,5328212
111,OMN,3,27.2114392617801,17.8,7.35933329965158,6.4671939985993,,10.1,15474.0,76983094928.0,0.622,21.0,16.5,11.1,0.0779366477487466,0.0009062742454796,5106622
112,PAK,3,24.7780598800813,24.7,2.06551367041633,2.10861138321746,0.304588287222052,19.9,1284.0,278221906022.0,0.389,30.0,286.546,20.1,0.0071699365606314,0.0001371618465106,220892331
113,PAN,4,27.5021159674797,13.0,6.93615177323224,6.69988044596282,1.76026079165412,7.7,15731.0,66800800000.0,0.532,8.616667,58.041,6.1,0.228108208830695,0.0019669655471626,4314768
114,PRY,3,23.9795398639594,17.5,2.09819075568393,2.30973238629071,0.492124757217228,9.6,5414.0,38145288939.0,0.533,-23.5,17.953,13.4,0.100357937506046,0.0027381588300364,7132530
115,PER,3,25.1226186415479,12.6,1.71466784550785,1.7508895781754,,6.6,6977.0,226848050819.0,0.586,-9.4,25.759,4.8,0.140481529366871,0.0073573566623569,29381884
116,PHL,0,27.842772700611,26.8,3.19393217087708,3.17443169928533,0.364388162774432,7.1,3485.0,376795508679.0,0.548,12.0,367.512,24.3,0.0387185480969303,0.0006177701583065,100979303
117,POL,1,9.98731197969543,18.7,0.835245818080474,0.962839304364679,1.26674111058008,6.1,15222.0,585705873800.0,0.747,52.0,123.6,28.0,0.163992569209781,0.0030890259062194,37972812
118,PRT,4,17.1050373756345,11.1,9.97059859178422,10.9012237343695,5.06966777717418,9.8,23364.0,240597516000.0,0.776,38.7,113.0,22.7,0.530189750187245,0.002426090220157,10276617
119,QAT,3,28.3106086219512,15.3,2.08702666956043,2.24628585914538,7.14413139457428,15.6,64781.0,183466208791.0,0.615,25.269535,248.153,20.6,0.151926374320563,0.0002367184300222,2881060
120,ROU,1,8.81535564670051,21.4,0.819471554571926,0.79352863916734,,6.9,12390.0,241475766400.0,0.601,46.0,83.1,29.7,0.167137604356506,0.0034445463272783,19414458
121,RUS,0,-4.10646265208545,25.4,1.25106096118149,1.38125269404298,2.27464125027901,6.1,11584.0,1699876578871.0,0.729,66.416667,8.911,39.3,0.138479136456187,0.0026424738886209,145934460
122,SMR,5,15.5874366321138,,6.75246179927189,6.46325652660734,,5.9,48481.0,1637931034.0,,43.933333,565.633,,0.605221285874241,0.0034769285167069,33938
123,STP,5,27.2147620600203,18.5,11.2121604331196,12.8937174041002,2.14180442688252,2.4,1994.0,429016605.0,,0.316667,228.293,,0.0281847591496662,0.0003467770269345,219161
124,SAU,3,28.0027429573171,16.4,2.83865543043833,1.30746262331383,1.47373764954976,15.8,23139.0,792966838161.0,0.585,23.716667,16.195,15.6,0.0234022264748699,0.000267709415906,34813867
125,SEN,2,30.2272428778004,18.1,1.38484513492352,0.784841453418813,0.0828977429455202,2.4,1446.0,23578084052.0,0.418,14.366667,86.968,8.2,0.0052693722441505,0.0001175351306413,16743930
126,SRB,1,11.2824073892276,19.1,2.1378163946863,2.03661714935209,1.67441005319884,9.0,7402.0,51409167350.0,0.755,43.95,91.0,38.9,0.333418679897825,0.0024178016371605,6963764
127,SLE,5,27.6206608265525,30.5,6.86036453622515,8.27547512112545,0.0108041538253807,2.4,504.0,3941474310.0,0.351,8.5,110.515,24.8,0.0009714196529139,1.56700808638e-05,7976985
128,SGP,0,27.513703648374,9.3,1.39098007913479,1.38292509539505,16.203401158779,5.5,65233.0,372062527488.0,0.884,1.3,8357.633,16.5,0.318740627686274,0.0002738300985087,5850343
