iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
CPV,24.62965134148828,17.2,9.164286519373322,10.337743423100104,1.0609766202708306,2.4,3603.0,1981845740.0,,15.916667,137.96199999999996,9.1,0.11213551371612338,0.0007374259876112434,555988.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0
CRI,26.614555688008128,11.5,10.549206196476753,10.817570684834484,0.8857871287326772,9.1,12238.0,61773944173.0,0.619,10.0,99.767,11.9,0.21707248797337475,0.0017496663796687706,5094114.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0
CUB,26.13281041869919,16.4,1.9884986917891603,2.090411408413819,0.9969995566252061,9.6,8821.0,100023000000.0,,22.0,106.413,35.2,0.09808295787550315,0.0007530934217245468,11326616.0,4.0,0.0,1.0,2.0,0.0,3.0,2.0
CUW,26.868904363360326,,1.4352656526268075,1.3968864353406998,14.963775475658474,11.6,19573.0,3127908044.0,,12.166667,369.595,,0.27632541133455213,0.001748933577087142,164100.0,[],[],[],[],[],[],[]
CYM,27.504468720528454,,7.2210387502536015,7.75428439208664,35.59799147900183,6.8,85477.0,5485419416.0,,19.5,273.833,,0.46477480219111383,0.0004716981132075472,65720.0,[],[],[],[],[],[],[]
CYP,21.126865077157362,11.3,4.222230104654511,4.292255066969998,45.08025277645013,9.0,28674.0,24942615800.0,0.751,35.0,94.4,36.4,0.6620614933913613,0.0013391955008511256,875899.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0
CZE,9.547005071065989,15.0,0.9700292235422622,1.044373754516075,2.125497454296015,7.0,23010.0,244932977600.0,0.782,49.5,137.7,34.3,0.38201759657458356,0.003843452459201112,10649800.0,3.0,0.0,3.0,2.0,0.0,2.0,1.0
DEU,10.828389177845528,12.1,1.2590546146106572,1.2459074839211315,,10.4,47554.0,3946356600000.0,0.795,51.0,234.7,30.6,0.3927403286754838,0.001791488917149817,83019213.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0
DJI,30.5292745802005,19.6,5.319723478188744,5.4553786328367755,0.6239865911202609,5.1,3408.0,3318716359.0,,11.8,42.623,13.1,0.01588053465478815,0.00019129515932153984,988002.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0
DMA,27.233796185222673,,4.998806067689677,4.612248809440126,7.000875109388674,11.6,8300.0,596033333.0,,15.416667,95.988,,0.2063035657234932,0.0009445625147587893,71991.0,2.0,0.0,3.0,2.0,5.0,3.0,0.0
DNK,9.438728280487805,11.3,1.3261266995442236,1.30444698287318,13.008016818756994,8.3,61360.0,355582262000.0,0.774,56.0,138.0,19.1,0.5655632430894436,0.0012033934765980701,5806081.0,3.0,0.0,3.0,2.0,5.0,2.0,1.0
DOM,26.91764756852792,19.0,1.1689378357080606,1.3633357527734073,0.3329824026319516,8.6,8282.0,88941298257.0,0.492,18.8,224.501,13.7,0.059152164325937985,0.00040413336991182815,10847904.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0
DZA,27.25419538657172,14.2,5.469628548325901,6.621854404289135,,6.7,3948.0,169988236398.0,0.523,28.0,18.411000000000005,15.6,0.0061702067154936315,0.00015687198135743317,43851043.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0
ECU,16.337338382022473,13.0,1.4624772154078294,1.5477484019862175,0.19930163137200058,5.5,6183.0,107435665000.0,0.602,-1.0,71.038,7.1,0.056670271483518164,0.0020338875455844963,17643060.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
