,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
157,SWE,3,5.84765150964467,9.1,8.709913188843991,8.813152832333527,2.495617730076354,4.8,54634.0,556025322000.0,0.8,61.0,25.0,18.8,0.2520502806156487,0.001955585358427,10230185.0,3.0,1.0,2.0,2.0,5.0,0.0,2.0
158,CHE,0,7.577672806091371,8.6,1.1066623696809457,1.1201392683140972,3.0797271295853363,5.7,81993.0,703082435360.0,0.767,46.798562,213.6,25.7,0.4744554028561206,0.0015858104257848,8544527.0,3.0,0.0,3.0,2.0,5.0,2.0,2.0
159,SYR,1,20.032687539634143,21.8,2.882431785275261,3.818161850100308,,13.5,,,,35.216667,95.304,,0.0032682772995322,0.0001807360717943,17500657.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
160,TJK,3,10.240235380020598,25.3,9.396126918670474,8.961272590863189,,6.1,870.0,8116626794.0,0.533,38.583333,68.145,,0.001864821514584,1.3105964765714628e-05,9537642.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0
161,TZA,5,22.02761764089522,17.9,12.40096344228502,13.712636369155256,,5.7,1122.0,63177068174.0,0.4,-6.307,67.435,14.8,0.000657127599555,1.4145997035233392e-05,59734213.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
162,THA,1,28.963727036585365,14.5,1.491888013020999,1.5757138973137697,0.4017603063459087,7.0,7808.0,543649976165.0,0.604,14.0,136.624,19.9,0.0669242188013297,0.0004669199179403,69799978.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0
163,TLS,4,27.879573180894308,19.9,9.5596268621009,10.368934476964036,0.771449264443268,6.7,1294.0,1673540300.0,0.434,-8.966667,88.665,42.6,0.0176245902360513,0.0001046689956782,1318442.0,4.0,0.0,1.0,2.0,0.0,3.0,0.0
164,TGO,5,27.45452615392457,23.6,4.535905912154654,6.209255339738544,0.116523040200632,2.4,675.0,5459979416.0,0.413,8.25,152.211,7.4,0.0046719692474793,3.4304753769174426e-05,8278736.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0
165,TTO,3,27.344328128672743,21.3,1.2396983840802598,1.2404789816489796,1.0107997089951997,11.0,17276.0,24100202833.0,0.613,10.666667,272.805,,0.1297378832732758,0.0029839420189197,1399491.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0
166,TUN,2,21.333501751016257,16.1,1.7408746317094363,2.3020869477744443,0.8229626808648911,8.5,3317.0,38797709923.0,0.508,34.0,76.072,32.7,0.0968948315276794,0.0024743163710003,11818618.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
167,TUR,0,13.68239925101626,16.1,1.1605375655945849,1.2052704072259928,2.499644700911566,11.1,9042.0,754411708202.0,0.626,39.0,106.2,27.2,0.2055071246505135,0.0012324782380424,82003882.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0
168,USA,0,12.594429921052631,14.6,1.0885369615337244,1.2437195316395278,3.2828435644619165,10.8,65118.0,21374418877706.004,0.762,39.828175,36.185,21.8,0.2792741865898129,0.0030368186149278,331002647.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0
169,UGA,4,23.49320996236012,21.9,3.565553027676724,3.068403061312191,0.0788348832460554,2.5,776.0,34387229486.0,0.382,1.28,228.922,10.0,0.0036947377626199,7.931614962506285e-05,45741000.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0
170,UKR,0,10.51573591845056,24.7,1.016117532823732,1.001904691827047,0.6453216075582997,6.1,3659.0,153781069118.0,0.647,49.0,75.492,28.9,0.116532333751599,0.0024913248367239,43733759.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0
171,ARE,3,29.445821646341464,16.8,2.600541285589795,2.4948696473456904,20.140679435262967,16.3,43103.0,421142267937.0,0.659,24.4,118.306,28.9,0.1032507279786459,0.0002367952762274,9890400.0,2.0,0.0,3.0,2.0,5.0,3.0,2.0
172,GBR,5,9.176960460913708,10.9,1.24894459662743,1.2777867508229743,9.436534462750153,3.9,43070.0,2860009176200.0,0.781,54.6,273.8,22.3,0.3534282325691772,0.0028362219206137,66647112.0,3.0,0.0,2.0,2.0,5.0,3.0,2.0
173,URY,3,17.50869014314721,16.7,1.623108348502242,1.599648617347475,2.3177117498288964,7.3,16190.0,56045912952.0,0.6,-33.0,19.848,16.8,0.2829370298817379,0.0021481250541565,3473727.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0
174,UZB,4,16.12960829776423,24.5,3.883830575470253,4.693844077133047,,6.5,1724.0,57921286440.0,,41.0,78.677,12.6,0.007290464286283,4.891064169178354e-05,33469199.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0
175,VEN,3,26.36518636686992,18.1,29.24110765689168,32.46658639033001,,7.0,,,,8.0,32.238,,0.0191262515894057,0.0002042837123425,28435943.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
176,VNM,1,26.75855037601626,17.1,2.49113615890747,2.307489743865361,2.2216380908658158,6.0,2715.0,261921244843.0,0.666,16.0,313.925,22.8,0.1176104443599718,0.0004431130870273,97338583.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0
177,PSE,0,,,0.0,0.0,1.0640120255886305,9.5,3198.0,14615900000.0,0.554,,847.411,,0.1377593985669861,0.0011187090015791,5101416.0,4.0,2.0,1.0,2.0,0.0,0.0,2.0
178,YEM,5,29.233084413441954,30.6,0.6452905959889271,0.769922284478909,,5.4,968.0,27591261663.0,0.369,15.5,56.492,18.4,0.000400054073685,7.225247475622585e-05,29825968.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0
179,ZMB,2,21.067936095124853,17.9,1.3959366373210558,1.6276865251590822,0.2448745271682291,4.5,1291.0,23064722446.0,0.396,-14.0,24.73,13.8,0.0181260768900882,0.0002185057449006,18383956.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0
180,ZWE,2,18.94657719850187,19.3,0.6644185625685896,0.8515123884701854,0.1984149430243535,1.8,1463.0,21440758800.0,0.441,-19.0,38.42,15.8,0.0172872409317491,0.0003765072653589,14862927.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0
