,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
88,KOR,1,13.85902794207317,7.8,1.541774250521805,1.5559188201938718,2.27676958328818,6.9,31761.0,1642383217167.0,0.845,36.0,527.298,23.3,0.4732759248377334,0.0005396029033659,51269183.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
89,KWT,3,28.12180357926829,17.4,12.65834558466459,12.693615630047288,2.6339732678075007,12.2,32031.0,134761198945.0,0.576,29.166667,239.65,22.5,0.1540183343507636,0.0006001550615223,4270563.0,4.0,0.0,3.0,2.0,5.0,3.0,2.0
90,KGZ,2,11.096653082317072,24.9,0.5190292854536908,0.6141842377670901,,6.1,1309.0,8454619607.0,0.58,41.0,34.016,26.5,0.0315625339601492,0.0004584476450796,6524191.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
91,LAO,1,27.34468594512195,27.0,5.619221490415476,6.27949967844382,0.5283675791166698,6.4,2534.0,18173839128.0,0.452,18.2,31.523000000000003,28.9,0.0295725852429697,0.0001040470309073,7275556.0,4.0,0.0,2.0,2.0,0.0,3.0,2.0
92,LVA,0,8.34278706097561,21.9,1.2168276373479212,1.2236451395772243,4.477124668054133,5.0,17818.0,34398215400.0,0.724,57.0,30.4,37.0,0.4750089584826413,0.0031068226137102,1919968.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0
93,LBN,0,19.76007663857868,17.9,0.8832765006650889,0.9798273944024506,2.485364945700848,11.2,7784.0,53367042272.0,0.538,33.833333,667.199,33.8,0.1777467305414067,0.0015603385099455,6825442.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0
94,LSO,4,13.82761355747711,26.6,25.456243009692603,22.707240594919444,0.2581395652799017,4.5,1157.0,2460072443.0,0.371,-29.55,70.562,26.7,0.0160051198458444,0.0003286261373545,2142252.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0
95,LBR,2,26.160455606811144,17.6,24.29931435584624,23.639726983015297,,2.4,621.0,3070518100.0,0.319,6.533333,52.509,9.8,0.0015677157714895,5.81294535020722e-05,5057677.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0
96,LBY,4,25.133611105714284,20.1,1.841294726319688,3.0757628871104354,0.5056732917413396,10.2,7683.0,52076250947.0,,27.0,3.905,,0.0737720604597071,0.0009367968475192,6871287.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
97,LIE,0,9.133012950253809,,1.0841360430099818,1.0941705161741253,3.411055363974691,9.4,173356.0,6552858738.0,,47.145,242.1,,0.5052373755797592,0.002240867163479,38378.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0
