country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
Monaco,MCO,14.164787,,16357.5,19238.584,,2.9,,185829.0,7188238000.0,,2,43.733334,26338.256,,0,3
Mongolia,MNG,0.15252464,30.2,1845749.0,1837671.8,2881109.5,4.7,,4295.0,13852850000.0,0.626,4,47.0,2.11,25.6,1,3
Montenegro,MNE,14.487483,20.6,172681.44,187817.5,,9.0,,8832.0,5494737000.0,0.615,,42.766666,45.7,45.9,,
Montserrat,MSR,27.180655,,1223.0,1420.5454,,,,,,,,16.75,49.99,,,
Morocco,MAR,19.761955,12.4,10017515.0,12219139.0,4910103.5,7.0,,3204.0,118725280000.0,0.5,3,32.0,82.703,23.4,2,2
Mozambique,MOZ,23.852518,18.4,3282793.5,4290677.5,389009.03,3.3,47.0,491.0,14934160000.0,0.361,,-19.117939,39.746,16.6,,
Myanmar,MMR,27.269827,24.2,10376583.0,12666242.0,1843045.8,3.9,,1407.0,76085854000.0,0.473,4,22.0,83.286,20.3,2,3
Namibia,NAM,20.967953,21.3,57412.227,121492.93,375281.53,4.5,,4957.0,12366527000.0,0.435,1,-23.0,3.086,21.4,2,3
Nauru,NRU,,,5863.857,5875.923,,12.0,,9396.0,118223430.0,,,-0.533333,541.7,40.0,,
Nepal,NPL,21.480825,21.8,4777989.0,6125054.0,2542803.5,7.2,,1071.0,30641381000.0,0.49,2,28.0,203.256,22.8,1,2
Netherlands,NLD,10.661491,11.2,7547546.0,8934639.0,11161673.0,5.4,13.610738,48779.383,140316640000.0,0.8,,52.076103,511.69232,25.8,,
New Caledonia,NCL,23.297558,,90709.46,100591.664,,21.8,,,,,,-21.25,15.618,,,
New Zealand,NZL,14.094355,10.1,1738378.6,2092635.9,1888941.2,6.2,,42084.0,206928770000.0,0.767,4,-41.2,18.314,16.0,0,2
Nicaragua,NIC,27.379955,14.2,2011078.6,2688688.5,,11.4,,1912.0,12520915000.0,0.531,,12.560388,55.049,,,
Niger,NER,30.806793,20.0,324334.16,505804.1,226265.56,2.4,,554.0,12928145000.0,0.316,2,17.0,19.11,7.7,0,3
Nigeria,NGA,27.04299,22.5,2757498.2,4234411.0,924053.9,3.1,,2229.0,448120420000.0,0.342,2,9.0,226.336,5.8,2,1
Niue,NIU,24.790592,,823.3333,884.8,,,,,,,,-19.05,6.223,,,
Norfolk Island,NFK,19.625246,,,,,,,,,,,-29.033333,,,,
North Korea,PRK,8.122405,25.6,,,,6.4,,,,,,40.0,214.092,,,
Northern Mariana Islands,MNP,28.480362,,,,,,,23258.0,1323000000.0,,,16.705,125.124,,,
Norway,NOR,4.359826,9.2,2160566.5,2544909.0,4412197.0,5.3,1337.6666,75419.0,403336360000.0,0.771,,63.98886,49.6125,20.2,,
Oman,OMN,26.430977,17.8,670981.8,777163.44,,10.1,,15474.0,76983090000.0,0.622,3,21.0,16.5,11.1,0,3
Pakistan,PAK,21.437576,24.7,44098176.0,58390610.0,10613366.0,19.9,,1284.0,278221900000.0,0.389,,30.733418,286.546,20.1,,
Palau,PLW,26.938288,,11949.142,14099.458,,17.9,,15859.0,283994900.0,,,7.466667,39.33,15.6,,
Palestine,PSE,,,448617.88,704134.06,,9.5,,3198.0,14615900000.0,0.554,4,,847.411,,2,1
Panama,PAN,27.325167,13.0,1463358.2,1966815.8,2060739.1,7.7,,15731.0,66800800000.0,0.532,,8.608036,58.041,6.1,,
Papua New Guinea,PNG,28.332958,30.0,148693.05,143690.31,249149.0,17.9,,2845.0,24969611000.0,0.384,2,-6.3,19.757,36.3,1,2
Paraguay,PRY,23.890451,17.5,595044.7,1101581.9,977908.8,9.6,,5414.0,38145290000.0,0.533,,-24.623503,17.953,13.4,,
Peru,PER,19.654257,12.6,9664655.0,12005264.0,10514182.0,6.6,2252.0076,6977.0,226848050000.0,0.586,,-10.892278,25.759,4.8,,
Philippines,PHL,27.33612,26.8,20134578.0,6335957.0,10651700.0,7.1,20.956522,3485.0,376795500000.0,0.548,,12.473735,367.512,24.3,,
Pitcairn Islands,PCN,,,37.666668,47.0,,,,,,,,-25.067781,,,,
Poland,POL,8.398439,18.7,89042.516,147429.39,1439619.4,6.1,187.49153,13934.728,84799100000.0,0.747,,51.84647,127.49375,28.0,,
Portugal,PRT,16.612673,11.1,4649761.0,3998585.5,10715890.0,9.8,2351.0,23142.75,60126840000.0,0.776,,38.148373,238.5,22.7,,
Puerto Rico,PRI,27.030342,,,,,13.7,,32873.0,104988600000.0,,3,18.25,322.53,,2,3
Qatar,QAT,27.361408,15.3,1405429.9,1722645.4,2788356.8,15.6,,64781.0,183466210000.0,0.615,3,25.269535,248.153,20.6,1,3
Republic of the Congo,COG,26.091734,16.7,166825.58,244105.55,,6.0,,2011.0,10820592000.0,0.42,2,-0.75,16.158,26.9,2,1
Romania,ROU,9.553116,21.4,4534773.0,3153819.2,5294237.5,6.9,658.0,12390.0,241475760000.0,0.601,,45.75101,316.4794,29.7,,
Russia,RUS,3.7386975,25.4,33527662.0,40067508.0,91341360.0,6.1,513.6667,11584.0,1699876600000.0,0.729,,54.708527,8.911,39.3,,
Rwanda,RWA,22.211376,18.2,1815236.2,1821157.5,1556261.9,5.1,,801.0,10122472000.0,0.374,2,-1.940278,525.019,12.3,2,3
Réunion,REU,23.42974,,,,,,,,,,,-21.114445,358.123,,,
Saint Helena,SHN,18.464256,,1551.0,3263.3333,,,818.0,,,,,-15.95,15.567,,,
Saint Kitts and Nevis,KNA,27.073532,,19986.508,22494.262,47511.14,13.3,,19896.0,1050992600.0,,,17.271667,204.585,,,
Saint Lucia,LCA,27.278471,18.8,34537.24,42270.656,135682.0,11.6,330.0,11611.0,2122450700.0,,,13.883333,301.031,,,
Saint Vincent and the Grenadines,VCT,27.452877,23.2,19963.453,24960.293,93506.664,11.6,,7463.0,825385200.0,,,12.9,284.479,,,
Samoa,WSM,27.115353,20.6,66748.63,88468.03,,9.2,,4315.0,850655040.0,,,-14.0,70.11,27.7,,
San Marino,SMR,14.427392,,12414.615,13649.357,,5.9,,48481.0,1637931000.0,,1,43.933334,565.633,,0,2
Saudi Arabia,SAU,26.930239,16.4,17372698.0,22869744.0,16030335.0,15.8,,23139.0,792966860000.0,0.585,3,23.716667,16.195,15.6,0,3
Senegal,SEN,29.9983,18.1,443049.25,457381.22,441547.7,2.4,,1446.0,23578083000.0,0.418,3,14.366667,86.968,8.2,0,3
Serbia,SRB,10.089254,19.1,2220497.8,2301693.0,3277158.0,9.0,,7402.0,51409166000.0,0.755,1,43.95,91.0,38.9,1,3
